Date,Open,High,Low,Close,Adj Close,Volume
2020-08-01,0.0,0.0,0.0,0.0,0.0,2152254
2020-08-02,0.0,0.0,0.0,0.0,0.0,258716
2020-08-03,0.0,0.0,0.0,0.0,0.0,173102
2020-08-04,0.0,0.0,0.0,0.0,0.0,26219
2020-08-05,0.0,0.0,0.0,0.0,0.0,35643
2020-08-06,0.0,0.0,0.0,0.0,0.0,11598
2020-08-07,0.0,0.0,0.0,0.0,0.0,23463
2020-08-08,0.0,0.0,0.0,0.0,0.0,18436
2020-08-09,0.0,0.0,0.0,0.0,0.0,6949
2020-08-10,0.0,0.0,0.0,0.0,0.0,8153
2020-08-11,0.0,0.0,0.0,0.0,0.0,3854
2020-08-12,0.0,0.0,0.0,0.0,0.0,2475
2020-08-13,0.0,0.0,0.0,0.0,0.0,2279
2020-08-14,0.0,0.0,0.0,0.0,0.0,4733
2020-08-15,0.0,0.0,0.0,0.0,0.0,1962
2020-08-16,0.0,0.0,0.0,0.0,0.0,670
2020-08-17,0.0,0.0,0.0,0.0,0.0,718
2020-08-18,0.0,0.0,0.0,0.0,0.0,202
2020-08-19,0.0,0.0,0.0,0.0,0.0,4506
2020-08-20,0.0,0.0,0.0,0.0,0.0,2711
2020-08-21,0.0,0.0,0.0,0.0,0.0,6448
2020-08-22,0.0,0.0,0.0,0.0,0.0,10566
2020-08-23,0.0,0.0,0.0,0.0,0.0,1006
2020-08-24,0.0,0.0,0.0,0.0,0.0,42
2020-08-25,0.0,0.0,0.0,0.0,0.0,497
2020-08-26,0.0,0.0,0.0,0.0,0.0,782
2020-08-27,0.0,0.0,0.0,0.0,0.0,3154
2020-08-28,0.0,0.0,0.0,0.0,0.0,9727
2020-08-29,0.0,0.0,0.0,0.0,0.0,5490
2020-08-30,0.0,0.0,0.0,0.0,0.0,53118
2020-08-31,0.0,0.0,0.0,0.0,0.0,8674
2020-09-01,0.0,0.0,0.0,0.0,0.0,21381
2020-09-02,0.0,0.0,0.0,0.0,0.0,80586
2020-09-03,0.0,0.0,0.0,0.0,0.0,92795
2020-09-04,0.0,0.0,0.0,0.0,0.0,47841
2020-09-05,0.0,0.0,0.0,0.0,0.0,15781
2020-09-06,0.0,0.0,0.0,0.0,0.0,20306
2020-09-07,0.0,0.0,0.0,0.0,0.0,7429
2020-09-08,0.0,0.0,0.0,0.0,0.0,5750
2020-09-09,0.0,0.0,0.0,0.0,0.0,3936
2020-09-10,0.0,0.0,0.0,0.0,0.0,865
2020-09-11,0.0,0.0,0.0,0.0,0.0,104
2020-09-12,0.0,0.0,0.0,0.0,0.0,959
2020-09-13,0.0,0.0,0.0,0.0,0.0,919
2020-09-14,0.0,0.0,0.0,0.0,0.0,1163
2020-09-15,0.0,0.0,0.0,0.0,0.0,566
2020-09-16,0.0,0.0,0.0,0.0,0.0,133
2020-09-17,0.0,0.0,0.0,0.0,0.0,1711
2020-09-18,0.0,0.0,0.0,0.0,0.0,382
2020-09-19,0.0,0.0,0.0,0.0,0.0,4712
2020-09-20,0.0,0.0,0.0,0.0,0.0,3690
2020-09-21,0.0,0.0,0.0,0.0,0.0,2502
2020-09-22,0.0,0.0,0.0,0.0,0.0,623
2020-09-23,0.0,0.0,0.0,0.0,0.0,675
2020-09-24,0.0,0.0,0.0,0.0,0.0,229
2020-09-25,0.0,0.0,0.0,0.0,0.0,276
2020-09-26,0.0,0.0,0.0,0.0,0.0,333
2020-09-27,0.0,0.0,0.0,0.0,0.0,3183
2020-09-28,0.0,0.0,0.0,0.0,0.0,855
2020-09-29,0.0,0.0,0.0,0.0,0.0,334
2020-09-30,0.0,0.0,0.0,0.0,0.0,681
2020-10-01,0.0,0.0,0.0,0.0,0.0,405
2020-10-02,0.0,0.0,0.0,0.0,0.0,11911
2020-10-03,0.0,0.0,0.0,0.0,0.0,12066
2020-10-04,0.0,0.0,0.0,0.0,0.0,12234
2020-10-05,0.0,0.0,0.0,0.0,0.0,3484
2020-10-06,0.0,0.0,0.0,0.0,0.0,5237
2020-10-07,0.0,0.0,0.0,0.0,0.0,6744
2020-10-08,0.0,0.0,0.0,0.0,0.0,987
2020-10-09,0.0,0.0,0.0,0.0,0.0,1570
2020-10-10,0.0,0.0,0.0,0.0,0.0,399
2020-10-11,0.0,0.0,0.0,0.0,0.0,14
2020-10-12,0.0,0.0,0.0,0.0,0.0,143
2020-10-13,0.0,0.0,0.0,0.0,0.0,1595
2020-10-14,0.0,0.0,0.0,0.0,0.0,70
2020-10-15,0.0,0.0,0.0,0.0,0.0,34
2020-10-16,0.0,0.0,0.0,0.0,0.0,236
2020-10-17,0.0,0.0,0.0,0.0,0.0,59
2020-10-18,0.0,0.0,0.0,0.0,0.0,5
2020-10-19,0.0,0.0,0.0,0.0,0.0,76
2020-10-20,0.0,0.0,0.0,0.0,0.0,675
2020-10-21,0.0,0.0,0.0,0.0,0.0,703
2020-10-22,0.0,0.0,0.0,0.0,0.0,37
